YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,DEP_TIME,WEATHER_DELAY,CANCELLATION_CODE,Conds_Description,Visibility,Pressure,Precipitation,Wind,Wind_Gust,Fog,Snow,Temp,Thunder,Tornado,Rain,Hail,Dest_Conds_Description,Dest_Visibility,Dest_Pressure,Dest_Precipitation,Dest_Wind,Dest_Wind_Gust,Dest_Fog,Dest_Snow,Dest_Temp,Dest_Thunder,Dest_Tornado,Dest_Rain,Dest_Hail
2017,9,27,3,9/27/2017,B6,BOS,MA,LGB,CA,1916,68,,"18    Partly Cloudy
Name: Conds_Description, dtype: object",10,29.8,0,11.5,-9999,0,0,80.1,0,0,0,0,"31    Clear
Name: Conds_Description, dtype: object",10,29.85,0,11.5,-9999,0,0,72,0,0,0,0
2017,9,27,3,9/27/2017,B6,JFK,NY,MVY,MA,1154,18,,"16    Mostly Cloudy
Name: Conds_Description, dtype: object",10,29.9,0,9.2,-9999,0,0,82.9,0,0,0,0,"37    Overcast
Name: Conds_Description, dtype: object",10,29.92,0,6.9,-9999,0,0,73.9,0,0,0,0
2017,9,28,4,9/28/2017,B6,FLL,FL,EWR,NJ,1942,81,,"18    Overcast
Name: Conds_Description, dtype: object",10,29.86,0,9.2,-9999,0,0,82.9,0,0,0,0,"21    Partly Cloudy
Name: Conds_Description, dtype: object",10,29.86,0,23,33.4,0,0,70,0,0,0,0
2017,9,28,4,9/28/2017,B6,FLL,FL,EWR,NJ,1302,44,,"12    Partly Cloudy
Name: Conds_Description, dtype: object",10,29.89,0,12.7,-9999,0,0,88,0,0,0,0,"15    Partly Cloudy
Name: Conds_Description, dtype: object",10,29.77,0,21.9,27.6,0,0,78.1,0,0,0,0
2017,9,29,5,9/29/2017,B6,PBI,FL,JFK,NY,1647,24,,"22    Light Thunderstorms and Rain
Name: Conds_Description, dtype: object",7,29.88,0,6.9,-9999,0,0,75.9,1,0,1,0,"15    Mostly Cloudy
Name: Conds_Description, dtype: object",10,30.01,0,15,-9999,0,0,64.9,0,0,0,0
2017,9,29,5,9/29/2017,B6,LGB,CA,SFO,CA,1102,74,,"21    Clear
Name: Conds_Description, dtype: object",10,29.92,0,0,-9999,0,0,78.1,0,0,0,0,"14    Mostly Cloudy
Name: Conds_Description, dtype: object",10,30.01,0,12.7,-9999,0,0,64.9,0,0,0,0
2017,9,30,6,9/30/2017,B6,BOS,MA,PBI,FL,1122,41,,"15    Rain
Name: Conds_Description, dtype: object",5,30.19,0,12.7,-9999,0,0,55,0,0,1,0,"11    Scattered Clouds
Name: Conds_Description, dtype: object",10,29.98,0,4.6,-9999,0,0,84,0,0,0,0
2017,9,30,6,9/30/2017,B6,BOS,MA,PBI,FL,925,58,,"12    Heavy Thunderstorms and Rain
Name: Conds_Description, dtype: object",2,30.13,0,15,-9999,0,0,54,1,0,1,0,"9    Scattered Clouds
Name: Conds_Description, dtype: object",10,29.96,0,3.5,-9999,0,0,80.1,0,0,0,0
2017,9,30,6,9/30/2017,B6,BOS,MA,IAD,VA,922,53,,"12    Heavy Thunderstorms and Rain
Name: Conds_Description, dtype: object",2,30.13,0,15,-9999,0,0,54,1,0,1,0,"8    Partly Cloudy
Name: Conds_Description, dtype: object",10,30.22,0,16.1,24.2,0,0,57.9,0,0,0,0
2017,9,30,6,9/30/2017,B6,BOS,MA,MCO,FL,1247,67,,"16    Light Rain
Name: Conds_Description, dtype: object",10,30.19,0,13.8,-9999,0,0,57,0,0,1,0,"21    Mostly Cloudy
Name: Conds_Description, dtype: object",10,29.94,0,5.8,-9999,0,0,82,0,0,0,0
2017,9,30,6,9/30/2017,B6,SYR,NY,JFK,NY,1414,79,,"15    Overcast
Name: Conds_Description, dtype: object",10,30.32,0,10.4,-9999,0,0,55,0,0,0,0,"14    Rain
Name: Conds_Description, dtype: object",9,30.14,0,11.5,-9999,0,0,59,0,0,1,0
2017,9,30,6,9/30/2017,B6,BOS,MA,DCA,VA,923,41,,"12    Heavy Thunderstorms and Rain
Name: Conds_Description, dtype: object",2,30.13,0,15,-9999,0,0,54,1,0,1,0,"9    Partly Cloudy
Name: Conds_Description, dtype: object",10,30.21,0,18.4,25.3,0,0,61,0,0,0,0
2017,9,30,6,9/30/2017,B6,BOS,MA,MSY,LA,927,61,,"12    Heavy Thunderstorms and Rain
Name: Conds_Description, dtype: object",2,30.13,0,15,-9999,0,0,54,1,0,1,0,"7    Clear
Name: Conds_Description, dtype: object",10,30.03,0,6.9,-9999,0,0,78.1,0,0,0,0
