Name,County,Acres,Start Date,Containment Date
Eclipse Complex,Siskiyou,78698,2017-08-15,2017-11-29
Salmon August Complex,Siskiyou,65888,2017-06-25,2017-12-08
Pier,Tulare,36556,2017-08-29,2017-11-29
Orleans Complex,Siskiyou,27276,2017-07-25,2017-09-26
Helena,Trinity,21846,2017-08-30,2017-11-15
Lion,Tulare,18900,2017-09-24,2017-12-02
Whittier,Santa Barbara,18430,2017-07-08,2017-10-05
Buck,Trinity,13417,2017-09-12,2017-11-20
Railroad,Madera,12407,2017-08-29,2017-10-24
Slinkard,Mono,8925,2017-08-29,2017-09-12
La Tuna,Los Angeles,7194,2017-09-01,2017-09-09
South Fork,Mariposa,7000,2017-08-13,2017-11-27
Empire,Mariposa,6370,2017-08-01,2017-11-27
Mud,Lassen,6042,2017-08-29,2017-09-01
Ponderosa,Butte,4016,2017-08-29,2017-09-09
Palmer,Riverside,3874,2017-09-02,2017-09-06
Canyon,Riverside,2662,2017-09-25,2017-10-04
Mission,Madera,1035,2017-09-03,2017-09-13
